Date,NB_Article_Count,NB_Positive_Count,NB_Negative_Count,NB_Neutral_Count,NB_Positive_Ratio,NB_Negative_Ratio,NB_Neutral_Ratio,NB_Net_Sentiment,NB_Net_Sentiment_Ratio,NB_negative_Mean_Proba,NB_neutral_Mean_Proba,NB_positive_Mean_Proba
2012-03-19,92,91,0,1,0.9891304347826086,0.0,0.010869565217391304,91,0.9891304347826086,0.0031586737973460476,0.03629928663658553,0.9605420395660683
2012-03-20,49,49,0,0,1.0,0.0,0.0,49,1.0,0.0047143796919800075,0.05107087534416951,0.9442147449638508
2012-03-21,33,33,0,0,1.0,0.0,0.0,33,1.0,0.003242589377076102,0.051541615229529034,0.9452157953933951
2012-03-22,26,26,0,0,1.0,0.0,0.0,26,1.0,0.002759649719100519,0.033181545655362216,0.9640588046255382
2012-03-23,28,28,0,0,1.0,0.0,0.0,28,1.0,0.0018054680212506596,0.02099347699864206,0.977201054980107
2012-03-25,7,7,0,0,1.0,0.0,0.0,7,1.0,0.001314579696438932,0.009452747990470262,0.9892326723130909
2012-03-26,28,28,0,0,1.0,0.0,0.0,28,1.0,0.0019389579999924017,0.02746351965520965,0.9705975223447982
2012-03-27,34,34,0,0,1.0,0.0,0.0,34,1.0,0.006660489773083547,0.0712773728070341,0.9220621374198831
2012-03-28,29,29,0,0,1.0,0.0,0.0,29,1.0,0.005333899125635229,0.07049976516095748,0.9241663357134077
2012-03-29,46,46,0,0,1.0,0.0,0.0,46,1.0,0.0055107556160482905,0.04084069179282312,0.9536485525911285
2012-03-30,33,33,0,0,1.0,0.0,0.0,33,1.0,0.004217813492873075,0.05536473856338026,0.9404174479437467
2012-03-31,2,2,0,0,1.0,0.0,0.0,2,1.0,0.0002731850621398795,0.0016705261753558898,0.9980562887625066
2012-04-01,4,4,0,0,1.0,0.0,0.0,4,1.0,0.0026659922520833506,0.037665696212152794,0.959668311535764
2012-04-02,41,41,0,0,1.0,0.0,0.0,41,1.0,0.003635529766436081,0.046740895653428746,0.9496235745801354
2012-04-03,43,43,0,0,1.0,0.0,0.0,43,1.0,0.004914706651646772,0.06733619074468367,0.9277491026036695
2012-04-04,23,23,0,0,1.0,0.0,0.0,23,1.0,0.005338189732964665,0.048811654912822286,0.9458501553542134
2012-04-05,28,28,0,0,1.0,0.0,0.0,28,1.0,0.0035093113248106365,0.03639865406327703,0.9600920346119116
2012-04-06,18,18,0,0,1.0,0.0,0.0,18,1.0,0.0034734041710190863,0.02908047358305862,0.967446122245922
2012-04-07,3,3,0,0,1.0,0.0,0.0,3,1.0,0.004808239529894439,0.11275839937482818,0.8824333610952767
2012-04-08,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0003290332969181459,0.007027472674317736,0.9926434940287624
2012-04-09,32,32,0,0,1.0,0.0,0.0,32,1.0,0.0036730172349193776,0.043137365017386575,0.9531896177476942
2012-04-10,40,40,0,0,1.0,0.0,0.0,40,1.0,0.002951943165576373,0.03260260475800699,0.9644454520764167
2012-04-11,55,55,0,0,1.0,0.0,0.0,55,1.0,0.0065505966737264875,0.05328930341854123,0.9401600999077325
2012-04-12,38,38,0,0,1.0,0.0,0.0,38,1.0,0.003705669394609102,0.038272588964159894,0.9580217416412311
2012-04-13,39,39,0,0,1.0,0.0,0.0,39,1.0,0.002762006280294333,0.030862138029130702,0.9663758556905754
2012-04-14,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0038649674290900425,0.03564262302590449,0.9604924095450071
2012-04-15,11,11,0,0,1.0,0.0,0.0,11,1.0,0.001998429736030945,0.007822131713975826,0.9901794385499929
2012-04-16,40,40,0,0,1.0,0.0,0.0,40,1.0,0.0020560543382306335,0.03254976693071372,0.9653941787310562
2012-04-17,37,37,0,0,1.0,0.0,0.0,37,1.0,0.0036216582784206926,0.03688865065597079,0.9594896910656086
2012-04-18,34,34,0,0,1.0,0.0,0.0,34,1.0,0.0022989071557788653,0.036006669915911046,0.9616944229283104
2012-04-19,39,39,0,0,1.0,0.0,0.0,39,1.0,0.002790123559204636,0.023363941393371494,0.9738459350474232
2012-04-20,39,39,0,0,1.0,0.0,0.0,39,1.0,0.002270536938282211,0.026419873436074666,0.9713095896256414
2012-04-21,2,2,0,0,1.0,0.0,0.0,2,1.0,2.203593160097771e-05,0.0010609580693056598,0.998917005999093
2012-04-22,3,3,0,0,1.0,0.0,0.0,3,1.0,0.0028243794574657004,0.0348671326606946,0.9623084878818395
2012-04-23,39,38,0,1,0.9743589743589743,0.0,0.02564102564102564,38,0.9743589743589743,0.0019263187680318183,0.03833118314967511,0.9597424980822916
2012-04-24,77,77,0,0,1.0,0.0,0.0,77,1.0,0.004609992171027345,0.036946114321195996,0.958443893507777
2012-04-25,125,125,0,0,1.0,0.0,0.0,125,1.0,0.002935162210039095,0.035768794269449164,0.9612960435205119
2012-04-26,48,48,0,0,1.0,0.0,0.0,48,1.0,0.0035466629353427103,0.02647647389549454,0.9699768631691624
2012-04-27,36,36,0,0,1.0,0.0,0.0,36,1.0,0.003571507890795775,0.028582324189494808,0.9678461679197087
2012-04-28,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,2,0.6666666666666666,0.0044349399313445515,0.24835298744998302,0.747212072618673
2012-04-29,6,6,0,0,1.0,0.0,0.0,6,1.0,0.0015613866435642894,0.018062362662478123,0.9803762506939585
2012-04-30,15,15,0,0,1.0,0.0,0.0,15,1.0,0.0028539580009470642,0.025302584171575607,0.9718434578274783
2012-05-01,19,19,0,0,1.0,0.0,0.0,19,1.0,0.0028610614303612434,0.02688468616103366,0.9702542524086063
2012-05-02,25,25,0,0,1.0,0.0,0.0,25,1.0,0.0029571363322318522,0.05047099431567898,0.9465718693520898
2012-05-03,31,31,0,0,1.0,0.0,0.0,31,1.0,0.003650815754687595,0.040783082953091396,0.9555661012922207
2012-05-04,19,19,0,0,1.0,0.0,0.0,19,1.0,0.0013244152758589416,0.029130869326209008,0.9695447153979299
2012-05-05,3,3,0,0,1.0,0.0,0.0,3,1.0,0.019194861054172112,0.05995135027060064,0.920853788675226
2012-05-07,23,23,0,0,1.0,0.0,0.0,23,1.0,0.0035658885134170946,0.049981182596393045,0.9464529288901905
2012-05-08,23,23,0,0,1.0,0.0,0.0,23,1.0,0.006208772679631985,0.07286815342226463,0.9209230738981035
2012-05-09,10,10,0,0,1.0,0.0,0.0,10,1.0,0.0013565339240993208,0.013090806120956557,0.9855526599549431
2012-05-10,27,27,0,0,1.0,0.0,0.0,27,1.0,0.002869794214149741,0.04166737822137167,0.9554628275644783
2012-05-11,11,11,0,0,1.0,0.0,0.0,11,1.0,0.003166415725764746,0.04912715234056815,0.9477064319336651
2012-05-13,4,4,0,0,1.0,0.0,0.0,4,1.0,0.0011626701165151582,0.012563627977622114,0.9862737019058646
2012-05-14,27,27,0,0,1.0,0.0,0.0,27,1.0,0.0027155579343322404,0.04360468977534046,0.9536797522903279
2012-05-15,41,41,0,0,1.0,0.0,0.0,41,1.0,0.0050375102156683844,0.05420287062587078,0.9407596191584606
2012-05-16,44,44,0,0,1.0,0.0,0.0,44,1.0,0.004730270166344524,0.05237688415283444,0.9428928456808212
2012-05-17,39,37,0,2,0.9487179487179487,0.0,0.05128205128205128,37,0.9487179487179487,0.0030467633575573857,0.06164885887585239,0.9353043777665903
2012-05-18,29,29,0,0,1.0,0.0,0.0,29,1.0,0.002850783159880536,0.049115506267909115,0.9480337105722101
2012-05-19,3,3,0,0,1.0,0.0,0.0,3,1.0,0.0012235225632675156,0.012642930105171965,0.9861335473315561
2012-05-20,4,4,0,0,1.0,0.0,0.0,4,1.0,0.009021038343119663,0.0702587926797608,0.9207201689771186
2012-05-21,31,31,0,0,1.0,0.0,0.0,31,1.0,0.008093959304141052,0.045188414239144936,0.9467176264567136
2012-05-22,20,20,0,0,1.0,0.0,0.0,20,1.0,0.0021882190619424047,0.023753143374553535,0.9740586375635036
2012-05-23,28,27,0,1,0.9642857142857143,0.0,0.03571428571428571,27,0.9642857142857143,0.003237479335598055,0.053457272991284784,0.9433052476731163
2012-05-24,26,26,0,0,1.0,0.0,0.0,26,1.0,0.0038095365830184105,0.044098513527624214,0.9520919498893574
2012-05-25,16,16,0,0,1.0,0.0,0.0,16,1.0,0.002595760117580639,0.018857875685079448,0.9785463641973393
2012-05-26,1,1,0,0,1.0,0.0,0.0,1,1.0,0.00273492289339849,0.16290856661799938,0.834356510488603
2012-05-27,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0004193525314750979,0.0038342678331640028,0.9957463796353642
2012-05-28,8,8,0,0,1.0,0.0,0.0,8,1.0,0.0019425010745613002,0.050879417308362276,0.9471780816170781
2012-05-29,30,30,0,0,1.0,0.0,0.0,30,1.0,0.00383542779068029,0.05354029920360407,0.942624273005715
2012-05-30,38,38,0,0,1.0,0.0,0.0,38,1.0,0.003836675466971153,0.042786630718110126,0.9533766938149192
2012-05-31,29,29,0,0,1.0,0.0,0.0,29,1.0,0.004261840339807967,0.03442610932736357,0.9613120503328283
2012-06-01,10,10,0,0,1.0,0.0,0.0,10,1.0,0.0009604234580086475,0.009426565818963697,0.989613010723027
2012-06-02,2,2,0,0,1.0,0.0,0.0,2,1.0,0.00280840545197358,0.028869346909319867,0.9683222476387047
2012-06-03,3,3,0,0,1.0,0.0,0.0,3,1.0,0.0008974433067154523,0.013381223448592487,0.9857213332446948
2012-06-04,28,28,0,0,1.0,0.0,0.0,28,1.0,0.002644905643471299,0.04243501196702674,0.9549200823895015
2012-06-05,26,26,0,0,1.0,0.0,0.0,26,1.0,0.00627021785266209,0.03118532253820759,0.9625444596091299
2012-06-06,33,33,0,0,1.0,0.0,0.0,33,1.0,0.004868967214802646,0.07111005836300768,0.9240209744221897
2012-06-07,37,37,0,0,1.0,0.0,0.0,37,1.0,0.0060672307837958545,0.04958185466982105,0.944350914546382
2012-06-08,25,24,0,1,0.96,0.0,0.04,24,0.96,0.00428101929144918,0.052306817947704795,0.9434121627608455
