expirationDate,optionType,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
2025-12-12,put,AAPL251212P00290000,2025-12-09 20:54:40+00:00,290.0,12.8,12.5,13.0,0.3000002,2.4000015,69.0,1710,0.26807372558593745,True,REGULAR,USD
2025-12-12,put,AAPL251212P00292500,2025-12-09 17:42:14+00:00,292.5,14.28,14.9,15.9,-1.9800005,-12.177124,7.0,129,0.40381455566406255,True,REGULAR,USD
2025-12-12,put,AAPL251212P00295000,2025-12-09 15:50:55+00:00,295.0,17.28,17.5,18.4,-1.4099998,-7.5441403,6.0,1,0.44922425781249997,True,REGULAR,USD
2025-12-12,put,AAPL251212P00297500,2025-12-09 16:30:45+00:00,297.5,20.01,20.0,20.9,4.2300005,26.806087,4.0,0,0.4931691308593751,True,REGULAR,USD
2025-12-12,put,AAPL251212P00300000,2025-12-09 19:04:45+00:00,300.0,21.3,22.45,23.4,-1.5799999,-6.905595,3.0,7,0.5361374511718751,True,REGULAR,USD
2025-12-12,put,AAPL251212P00305000,2025-12-08 18:33:59+00:00,305.0,28.37,26.85,29.0,0.0,0.0,2.0,1,0.7407252490234374,True,REGULAR,USD
2025-12-12,put,AAPL251212P00310000,2025-12-08 17:56:37+00:00,310.0,32.83,31.9,33.95,0.0,0.0,1.0,0,0.5117236328125,True,REGULAR,USD
2025-12-12,put,AAPL251212P00315000,2025-12-03 19:46:07+00:00,315.0,30.43,36.85,39.0,0.0,0.0,1.0,0,0.5732464550781251,True,REGULAR,USD
2025-12-12,put,AAPL251212P00375000,2025-11-13 20:52:48+00:00,375.0,101.4,96.85,98.95,0.0,0.0,,0,1.16016044921875,True,REGULAR,USD
2025-12-12,put,AAPL251212P00380000,2025-11-13 20:52:48+00:00,380.0,106.42,101.9,103.95,0.0,0.0,,0,1.2421912890624998,True,REGULAR,USD
2025-12-19,call,AAPL251219C00005000,2025-12-09 18:34:03+00:00,5.0,273.48,271.6,273.1,0.32000732,0.11715014,40.0,143,10.015628740234376,True,REGULAR,USD
2025-12-19,call,AAPL251219C00010000,2025-12-09 17:59:39+00:00,10.0,268.25,266.4,268.1,0.269989,0.10074969,40.0,11,7.2187509765625,True,REGULAR,USD
2025-12-19,call,AAPL251219C00015000,2025-11-07 20:45:14+00:00,15.0,253.5,260.45,263.95,0.0,0.0,5.0,0,5.562503046874999,True,REGULAR,USD
2025-12-19,call,AAPL251219C00020000,2025-11-07 20:25:47+00:00,20.0,247.25,255.4,258.95,0.0,0.0,100.0,10,9.001957498779296,True,REGULAR,USD
2025-12-19,call,AAPL251219C00025000,2025-11-11 14:30:46+00:00,25.0,245.7,250.45,254.0,0.0,0.0,3.0,3,4.8906288867187495,True,REGULAR,USD
2025-12-19,call,AAPL251219C00030000,2025-11-06 17:11:56+00:00,30.0,241.24,245.4,249.0,0.0,0.0,4.0,0,4.187504765625,True,REGULAR,USD
2025-12-19,call,AAPL251219C00035000,2025-11-06 17:11:56+00:00,35.0,236.07,240.5,244.0,0.0,0.0,6.0,0,4.3828170214843745,True,REGULAR,USD
2025-12-19,call,AAPL251219C00040000,2025-11-10 16:00:18+00:00,40.0,230.91,235.45,239.0,0.0,0.0,1.0,4,3.9218751953125004,True,REGULAR,USD
2025-12-19,call,AAPL251219C00045000,2025-11-06 14:34:43+00:00,45.0,223.7,230.45,234.0,0.0,0.0,1.0,1,3.6875007812500002,True,REGULAR,USD
2025-12-19,call,AAPL251219C00050000,2025-11-05 20:58:36+00:00,50.0,220.14,226.35,228.15,0.0,0.0,1.0,161,3.6250009375000003,True,REGULAR,USD
2025-12-19,call,AAPL251219C00055000,2025-10-28 13:52:40+00:00,55.0,214.22,229.35,232.9,0.0,0.0,1.0,80,8.037602632751463,True,REGULAR,USD
