Date,NB_Article_Count,NB_Positive_Count,NB_Negative_Count,NB_Positive_Ratio,NB_Negative_Ratio,NB_Net_Sentiment,NB_Net_Sentiment_Ratio,NB_negative_Mean_Proba,NB_positive_Mean_Proba
2015-09-07,9,9,0,1.0,0.0,9,1.0,0.10677358439192126,0.8932264156080788
2015-09-08,18,18,0,1.0,0.0,18,1.0,0.04260532492281667,0.9573946750771829
2015-09-09,34,34,0,1.0,0.0,34,1.0,0.04659378759958277,0.9534062124004172
2015-09-10,66,66,0,1.0,0.0,66,1.0,0.07575416425346289,0.9242458357465374
2015-09-11,44,44,0,1.0,0.0,44,1.0,0.059193561987906824,0.940806438012094
2015-09-12,5,5,0,1.0,0.0,5,1.0,0.04055443578844507,0.9594455642115562
2015-09-14,27,27,0,1.0,0.0,27,1.0,0.035207760684684446,0.9647922393153152
2015-09-15,30,30,0,1.0,0.0,30,1.0,0.044294682169168806,0.9557053178308317
2015-09-16,25,25,0,1.0,0.0,25,1.0,0.03207520774740996,0.9679247922525904
2015-09-17,40,40,0,1.0,0.0,40,1.0,0.04050284254006507,0.9594971574599356
2015-09-18,23,23,0,1.0,0.0,23,1.0,0.07243825560615891,0.9275617443938416
2015-09-19,13,13,0,1.0,0.0,13,1.0,0.06922271436320648,0.9307772856367937
2015-09-20,3,3,0,1.0,0.0,3,1.0,0.07173345345691311,0.9282665465430876
2015-09-21,26,25,1,0.9615384615384616,0.038461538461538464,24,0.9230769230769231,0.09968167911961826,0.9003183208803804
2015-09-22,33,33,0,1.0,0.0,33,1.0,0.054542532789716165,0.9454574672102835
2015-09-23,23,23,0,1.0,0.0,23,1.0,0.07234980289907655,0.9276501971009228
2015-09-24,22,22,0,1.0,0.0,22,1.0,0.04067190447268332,0.9593280955273173
2015-09-25,38,38,0,1.0,0.0,38,1.0,0.06302626504033478,0.9369737349596658
2015-09-26,6,6,0,1.0,0.0,6,1.0,0.03499555128633592,0.9650044487136631
2015-09-27,2,2,0,1.0,0.0,2,1.0,0.0003310868151244065,0.9996689131848793
2015-09-28,19,19,0,1.0,0.0,19,1.0,0.031674695705948754,0.9683253042940508
2015-09-29,34,34,0,1.0,0.0,34,1.0,0.02293904277111585,0.9770609572288833
2015-09-30,28,28,0,1.0,0.0,28,1.0,0.043929509528128026,0.9560704904718718
2015-10-01,25,25,0,1.0,0.0,25,1.0,0.024735953287951532,0.9752640467120495
2015-10-02,29,29,0,1.0,0.0,29,1.0,0.056983009343561604,0.9430169906564387
2015-10-03,1,1,0,1.0,0.0,1,1.0,1.0787789583655195e-05,0.9999892122104179
2015-10-04,1,1,0,1.0,0.0,1,1.0,0.0022366335651206903,0.9977633664348734
2015-10-05,23,23,0,1.0,0.0,23,1.0,0.05570259819830883,0.9442974018016909
2015-10-06,21,21,0,1.0,0.0,21,1.0,0.03357610829901374,0.9664238917009875
2015-10-07,17,17,0,1.0,0.0,17,1.0,0.03454224075945374,0.9654577592405471
